Card Name
Bonecrusher Giant
Broadside Bombardiers
Goblin Rabblemaster
Gut, True Soul Zealot
Imperial Recruiter
Laelia, the Blade Reforged
Seasoned Pyromancer
Caves of Chaos Adventurer
Headliner Scarlett
Pyrogoyf
Fury
Inferno Titan
Oliphaunt
Chandra, Torch of Defiance
Burst Lightning
Galvanic Discharge
Lightning Bolt
Unholy Heat
Abrade
Incinerate
Seething Song
Through the Breach
Fireblast
Pyrokinesis
Chain Lightning
Faithless Looting
Firebolt
Flame Slash
Wheel of Fortune
Fiery Confluence
Cori-Steel Cutter
Underworld Breach
Sneak Attack
Arbor Elf
Birds of Paradise
Delighted Halfling
Elvish Mystic
Hexdrinker
Ignoble Hierarch
Llanowar Elves
Noble Hierarch
Badgermole Cub
Bristly Bill, Spine Sower
Lotus Cobra
Rofellos, Llanowar Emissary
Scavenging Ooze
Scythecat Cub
Springheart Nantuko
Endurance
Eternal Witness
Ramunap Excavator
Sentinel of the Nameless City
Six
Tireless Tracker
Icetill Explorer
Questing Beast
Undermountain Adventurer
Titania, Protector of Argoth
Primeval Titan
Vaultborn Tyrant
Craterhoof Behemoth
Woodfall Primus
Worldspine Wurm
Nissa, Who Shakes the World
Crop Rotation
Once Upon a Time
Green Sun's Zenith
Pest Infestation
Channel
Malevolent Rumble
Natural Order
Scapeshift
Exploration
Fastbond
Oath of Druids
Survival of the Fittest
Sylvan Library
Walking Ballista
Phyrexian Revoker
Scrawling Crawler
Golos, Tireless Pilgrim
Wurmcoil Engine
Myr Battlesphere
Blightsteel Colossus
Emrakul, the Aeons Torn
Triplicate Titan
Tezzeret, Cruel Captain
Ugin, Eye of the Storms
Black Lotus
Chrome Mox
Lion's Eye Diamond
Lotus Petal
Mana Crypt
Mishra's Bauble
Mox Diamond
Mox Emerald
Mox Jet
Mox Opal
Mox Pearl
Mox Ruby
Mox Sapphire
Urza's Bauble
Zuran Orb
Chromatic Star
Currency Converter
Expedition Map
Mana Vault
Retrofitter Foundry
Sensei's Divining Top
Skullclamp
Sol Ring
Grim Monolith
Lightning Greaves
Umezawa's Jitte
Winter Orb
Basalt Monolith
Coalition Relic
Crucible of Worlds
The One Ring
Batterskull
Memory Jar
Coveted Jewel
Kaldra Compleat
Portal to Phyrexia
Teferi, Time Raveler
Fractured Identity
Baleful Strix
Psychic Frog
Fire Covenant
Chaos Defiler
Mawloc
Wrenn and Six
Minsc & Boo, Timeless Heroes
Torsten, Founder of Benalia
Damn
Lingering Souls
Lurrus of the Dream-Den
Vindicate
Expressive Iteration
Dack Fayden
Lutri, the Spellchaser
Vivi Ornitier
Deathrite Shaman
Grist, the Hunger Tide
Life // Death
Forth Eorlingas!
Phlage, Titan of Fire's Fury
Comet, Stellar Pup
Nadu, Winged Wisdom
Oko, Thief of Crowns
Uro, Titan of Nature's Wrath
Atraxa, Grand Unifier
Flooded Strand
Hallowed Fountain
Meticulous Archive
Tundra
Polluted Delta
Undercity Sewers
Underground Sea
Watery Grave
Badlands
Blood Crypt
Bloodstained Mire
Raucous Theater
Commercial District
Stomping Ground
Taiga
Wooded Foothills
Lush Portico
Savannah
Temple Garden
Windswept Heath
Godless Shrine
Marsh Flats
Scrubland
Shadowy Backstreet
Scalding Tarn
Steam Vents
Thundering Falls
Volcanic Island
Bayou
Overgrown Tomb
Underground Mortuary
Verdant Catacombs
Arid Mesa
Elegant Parlor
Plateau
Sacred Foundry
Breeding Pool
Hedge Maze
Misty Rainforest
Tropical Island
Spara's Headquarters
Raffine's Tower
Xander's Lounge
Ziatora's Proving Ground
Jetmir's Garden
Savai Triome
Ketria Triome
Indatha Triome
Raugrin Triome
Zagoth Triome
Ancient Tomb
Boseiju, Who Endures
City of Brass
City of Traitors
Gaea's Cradle
Karakas
Library of Alexandria
Mana Confluence
Mishra's Workshop
Prismatic Vista
Shelldock Isle
Starting Town
Strip Mine
Tolarian Academy
Urza's Saga
Wasteland
